# DIGGS v2.6 to v3.0 Type Mappings
# Format: OldTypeName<TAB>NewTypeName
# Lines starting with # are comments and will be ignored

# User-provided type mappings
ContinuousGroutInjectionPropertyType	ContinuousGroutInjectionPropType
Val0-100MeasureType	AbundanceMeasureType
AreaPerTimeMeasureType	AreaPerTimeMeasureType
BearingBaseType	BearingMeasureBaseType
BearingType	BearingMeasureType
AbstractConstructionActivityPropertyType	ConstructionActivityPropertyType
FlameIonizationDetectorTestType	diggs_geo:FlameIonizationDetectorTestType
DirectShearTestTrialPropertyType	DirectShearTestIncrementPropertyType
GroutInjectionPropertyType	GroutInjectionPropType
LengthPerTimeMeasureType	LengthPerTimeMeasureType
LimitPropertyType	LimitArrayPropertyType
FieldPropertiesPropertyType	LithPropertiesPropertyType
FieldPropertiesType	LithPropertiesType
AbstractMeasurementPropertyType	MeasurementPropertyType
PolygonPatchType	PlanarSurfacePatchType
PolygonType	PlanarSurfaceType
PlungeType	PlungeMeasureType
pressureMeasureType	PressureMeasureType
AbstractProgramDesignPropertyType	ProgramDesignPropertyType
AbstractProgramPropertyType	ProgramPropertyType
AbstractProgramSpecificationPropertyType	ProgramSpecificationPropertyType
InjectionDataPropertiesType	PropertiesArrayPropertyYype
PropertyType	PropertyType
AbstractSamplePropertyType	SamplePropertyType
AbstractSamplingFeaturePropertyType	SamplingFeaturePropertyType
AbstractSurfacePropertyType	SurfacePropertyType
SpecificGravityType	SpecificGravityMeasureType
TemperatureMeasurementtPropertyType	TemperatureMeasurementPropertyType
DissipationTimeSeriesResultType	TemporalResultType
GroutingTimeSeriesBaseType	TemporalResultType
InjectionTimeSeriesBaseType	TemporalResultType
VolumeOrMassLossMeasure	VolumeOrMassLossMeasureType
WaterContentType	WaterContentMeasureType

# WITSML type mappings (v2.6 used external WITSML types, v3.0 internalized them)
AziRef	AziRefEnumType
ChannelDerivation	ChannelDerivationEnumType
ChannelState	ChannelStateEnumType
Cost	CostType
MeasurementType	xs:double

# EML measure type mappings (v2.6 used external EML types, v3.0 internalized them)
AngularVelocityMeasure	AngularVelocityMeasureType
AngularVelocityMeasureExt	AngularVelocityMeasureType
AreaMeasure	AreaMeasureType
AreaPerAreaMeasure	AreaPerAreaMeasureType
DimensionlessMeasure	DimensionlessMeasureType
DynamicViscosityMeasure	DynamicViscosityMeasureType
DynamicViscosityMeasureExt	DynamicViscosityMeasureType
ElectricPotentialDifferenceMeasureExt	ElectricPotentialDifferenceMeasureType
EnergyPerVolumeMeasure	EnergyPerVolumeMeasureType
ForceMeasure	ForceMeasureType
ForceMeasureExt	ForceMeasureType
ForcePerForceMeasureExt	ForcePerForceMeasureType
ForcePerLengthMeasure	ForcePerLengthMeasureType
ForcePerVolumeMeasure	ForcePerVolumeMeasureType
ForcePerVolumeMeasureExt	ForcePerVolumeMeasureType
GenericMeasure	GenericMeasureType
LengthMeasure	LengthMeasureType
LengthMeasureExt	LengthMeasureType
LengthPerLengthMeasure	LengthPerLengthMeasureType
MassMeasure	MassMeasureType
MassPerMassMeasure	MassPerMassMeasureType
MassPerVolumeMeasure	MassPerVolumeMeasureType
MomentOfForceMeasure	MomentOfForceMeasureType
MomentOfForceMeasureExt	MomentOfForceMeasureType
PermeabilityRockMeasure	PermeabilityRockMeasureType
PlaneAngleMeasure	PlaneAngleMeasureType
PowerMeasure	PowerMeasureType
PressureMeasure	PressureMeasureType
PressureMeasureExt	PressureMeasureType
PressurePerPressureMeasureExt	PressurePerPressureMeasureType
ReciprocalPressureMeasureExt	ReciprocalPressureMeasureType
ReciprocalTimeMeasure	ReciprocalTimeMeasureType
ThermodynamicTemperatureMeasure	ThermodynamicTemperatureMeasureType
ThermodynamicTemperatureMeasureExt	ThermodynamicTemperatureMeasureType
TimeMeasure	TimeMeasureType
UnitlessMeasure	DimensionlessMeasureType
VolumeMeasure	VolumeMeasureType
VolumeMeasureExt	VolumeMeasureType
VolumePerLengthMeasure	VolumePerLengthMeasureType
VolumePerTimeMeasure	VolumePerTimeMeasureType
VolumePerTimeMeasureExt	VolumePerTimeMeasureType
VolumePerVolumeMeasure	VolumePerVolumeMeasureType
VolumePerVolumeMeasureExt	VolumePerVolumeMeasureType
generalMeasureType	GenericMeasureType
